Family,Scientific Name,Globally Threatened Status,Nationally Threatened Status,Migration status,Occurrence status
,Circus macrourus ,VU ,LC,w,4
,Circus melanoleucos ,VU ,LC,w,4
,Accipiter nisus ,LC,LC,r,3
,Accipiter gentilis ,LC,LC,r,4
,Haliaeetus leucoryphus,EN ,CR ,w,4
,Haliaeetus albicilla ,CR ,LC,w,4
,Icthyophaga humilis ,CR ,LC,r,5
,Icthyophaga ichthyaetus,CR ,LC,r,3
,Haliastur indus ,CR ,LC,r,4
,Milvus migrans ,LC,LC,r,1
,Butastur teesa ,LC,LC,r,2
,Buteo refectus ,LC,LC,w,2
,Buteo rufinus ,LC,LC,w,4
Bucerotidae,Buceros bicornis ,VU ,EN ,r,3
,Ocyceros birostris ,LC,LC,r,1
,Anthracoceros albirostris,NT ,LC,r,1
Upupidae,Upupa epops ,LC,LC,w,2
Meropidae,Nyctyornis athertoni ,LC,LC,r,3
,Merops orientalis ,LC,LC,r,1
,Merops leschenaulti ,LC,LC,s,1
,Merops philippinus ,LC,LC,s,1
,Coracias benghalensis,LC,LC,r,1
,Eurystomus orientalis ,LC,LC,s,1
,Alcedo meninting ,EN ,LC,r,3
,Alcedo atthis ,LC,LC,r,1
,Megaceryle lugubris ,LC,LC,r,3
,Ceryle rudis ,LC,LC,r,1
,Pelargopsis capensis ,LC,LC,r,2
,Halcyon smyrnensis ,LC,LC,r,1
,Halcyon pileata ,LC,LC,w,4
Megalaimidae,Psilopogon haemacephalus,LC,LC,r,2
,Psilopogon virens ,LC,LC,r,3
,Psilopogon lineatus ,LC,LC,r,3
,Psilopogon zeylanicus,LC,LC,r,1
,Psilopogon asiaticus ,LC,LC,r,2
Picidae,Jynx torquilla ,LC,LC,w,3
,Picumnus innominatus,LC,LC,r,3
,Chrysocolaptes guttacristatus,LC,LC,r,2
,Chrysocolaptes festivus,LC,LC,r,4
,Dinopium shorii ,LC,LC,r,1
,Dinopium benghalense,LC,LC,r,1
,Chrysophlegma flavinucha,LC,LC,r,3
,Picus chlorolophus ,LC,LC,r,3
,Picus xanthopygaeus ,LC,LC,r,2
,Picus guerini ,LC,LC,r,2
,Picus squamatus ,LC,LC,r,4
,Mulleripicus pulverulentus,VU ,EN ,r,3
,Picoides canicapillus ,LC,LC,r,3
,Picoides nanus ,LC,LC,r,2
,"Leiopicus
mahrattensis",LC,LC,r,2
,Dendrocopos macei ,LC,LC,r,2
Falconidae,"Microhierax
caerulescens",NT ,LC,r,2
,Falco tinnunculus ,LC,LC,r,2
,Falco subbuteo ,LC,LC,s,4
,Falco severus ,CR ,LC,s,5
,Falco jugger ,CR ,LC,w,5
,Falco peregrinus ,I ,LC,r,2
Psittacidae,Psittacula himalayana ,LC,LC,r,3
,"Psittacula
cyanocephala",LC,LC,r,1
,Psittacula alexandri ,VU ,LC,r,2
,Psittacula eupatria ,NT ,LC,r,1
,Psittacula krameri ,LC,LC,r,1
Pittidae,Pitta brachyura ,LC,LC,s,2
,Pitta sordida ,VU ,LC,s,2
Eurylaimidae,"Psarisomus
dalhousiae",LC,LC,r,3
Oriolidae,Oriolus traillii ,LC,LC,r,4
,Oriolus xanthornus ,LC,LC,r,1
,Oriolus kundoo ,LC,LC,s,2
,Oriolus tenuirostris ,LC,LC,w,5
Vireonidae,Pteruthius aeralatus ,LC,LC,r,4
,Erpornis zantholeuca ,LC,LC,r,2
Campephagidae,"Pericrocotus
cinnamomeus",LC,LC,r,1
,Pericrocotus solaris ,LC,LC,v,2
,"Pericrocotus
brevirostris",LC,LC,w,4
,"Pericrocotus
ethologus",LC,LC,r,3
,"Pericrocotus
flammeus",LC,LC,w,1
,Pericrocotus roseus ,LC,LC,r,4
,Coracina macei ,LC,LC,r,1
,Lalage melaschistos ,LC,LC,r,2
