English Name,Scientific Name,Globally Threatened Status,Nationally Threatened Status,Migration status,Occurrence status
Dusky Eagle-owl ,Bubo coromandus ,CR ,LC,r,4
Brown Fish-owl ,Ketupa zeylonensis ,VU ,LC,r,3
Osprey ,Pandion haliaetus ,LC,LC,w,2
Black-winged Kite ,Elanus caeruleus ,LC,LC,r,2
Oriental Honey-buzzard ,Pernis ptilorhynchus ,LC,LC,r,2
Black Baza ,Aviceda leuphotes ,NT ,LC,r,3
Crested Serpent-eagle ,Spilornis cheela ,LC,LC,r,1
Short-toed Snake-eagle ,Circaetus gallicus ,LC,LC,w,3
Bearded Vulture ,Gypaetus barbatus ,VU ,LC,v,2
Egyptian Vulture ,"Neophron
percnopterus",EN ,VU ,r,3
Red-headed Vulture ,Sarcogyps calvus ,CR ,EN ,r,3
Himalayan Griffon ,Gyps himalayensis ,VU ,LC,w,2
White-rumped Vulture ,Gyps bengalensis ,CR ,CR ,r,2
Slender-billed Vulture ,Gyps tenuirostris ,CR ,CR ,r,3
Cinereous Vulture ,Aegypius monachus ,EN ,LC,w,3
Mountain Hawk Eagle ,Nisaetus nipalensis ,LC,LC,r,3
Changeable Hawk Eagle ,Nisaetus cirrhatus ,LC,LC,r,2
Rufous-bellied Eagle ,"Lophotriorchis
kienerii",CR ,LC,r,4
Black Eagle ,Ictinaetus malaiensis ,LC,LC,w,4
Indian Spotted Eagle ,Clanga hastata ,VU ,VU ,r,3
Greater Spotted Eagle ,Clanga clanga ,VU ,VU ,w,4
Tawny Eagle ,Aquila rapax ,VU ,LC,w,5
Steppe Eagle ,Aquila nipalensis ,EN ,VU ,w,3
Eastern Imperial Eagle ,Aquila heliaca ,VU ,CR ,w,5
Golden Eagle ,Aquila chrysaetos ,VU ,LC,w,5
Bonelli's Eagle ,Aquila fasciata ,LC,LC,r,4
Bootted Eagle ,Hieraaetus pennatus ,LC,LC,w,3
Besra ,Accipiter virgatus ,LC,LC,r,3
Eastern Marsh-harrier ,Circus spilonotus ,VU ,LC,W,3
Hen Harrier ,Circus cyaneus ,VU ,LC,w,2
Pallid Harrier ,Circus macrourus ,VU ,LC,w,4
Pied Harrier ,Circus melanoleucos ,VU ,LC,w,4
Eurasian Sparrowhawk ,Accipiter nisus ,LC,LC,r,3
Northern Goshawk ,Accipiter gentilis ,LC,LC,r,4
Pallas's Fish-eagle ,"Haliaeetus
leucoryphus",EN ,CR ,w,4
White-tailed Sea-eagle ,Haliaeetus albicilla ,CR ,LC,w,4
Lesser Fish-eagle ,Icthyophaga humilis ,CR ,LC,r,5
Grey-headed Fish-eagle ,"Icthyophaga
ichthyaetus",CR ,LC,r,3
Brahminy Kite ,Haliastur indus ,CR ,LC,r,4
Black Kite ,Milvus migrans ,LC,LC,r,1
White-eyed Buzzard ,Butastur teesa ,LC,LC,r,2
Himalayan Buzzard ,Buteo refectus ,LC,LC,w,2
Long-legged Buzzard ,Buteo rufinus ,LC,LC,w,4
Great Hornbill ,Buceros bicornis ,VU ,EN ,r,3
Indian Grey Hornbill ,Ocyceros birostris ,LC,LC,r,1
Oriental Pied Hornbill ,"Anthracoceros
albirostris",NT ,LC,r,1
Common Hoopoe ,Upupa epops ,LC,LC,w,2
Blue-bearded Bee-eater ,Nyctyornis athertoni ,LC,LC,r,3
Asian Green Bee-eater ,Merops orientalis ,LC,LC,r,1
"Chestnut-headed Bee
eater",Merops leschenaulti ,LC,LC,s,1
Blue-tailed Bee-eater ,Merops philippinus ,LC,LC,s,1
Indian Roller ,"Coracias
benghalensis",LC,LC,r,1
Oriental Dollarbird ,Eurystomus orientalis ,LC,LC,s,1
Blue-eared Kingfisher ,Alcedo meninting ,EN ,LC,r,3
Common Kingfisher ,Alcedo atthis ,LC,LC,r,1
Crested Kingfisher ,Megaceryle lugubris ,LC,LC,r,3
Pied Kingfisher ,Ceryle rudis ,LC,LC,r,1
Stork-billed Kingfisher ,Pelargopsis capensis ,LC,LC,r,2
"White-breasted
Kingfisher",Halcyon smyrnensis ,LC,LC,r,1
Black-capped Kingfisher ,Halcyon pileata ,LC,LC,w,4
Coppersmith Barbet ,"Psilopogon
haemacephalus",LC,LC,r,2
Great Barbet ,Psilopogon virens ,LC,LC,r,3
Lineated Barbet ,Psilopogon lineatus ,LC,LC,r,3
Brown-headed Barbet ,"Psilopogon
zeylanicus",LC,LC,r,1
Blue-throated Barbet ,Psilopogon asiaticus ,LC,LC,r,2
Eurasian Wryneck ,Jynx torquilla ,LC,LC,w,3
Speckled Piculet ,"Picumnus
innominatus",LC,LC,r,3
Greater Flameback ,"Chrysocolaptes
guttacristatus",LC,LC,r,2
"White-naped
Woodpecker","Chrysocolaptes
festivus",LC,LC,r,4
