S N,English Name,Scientific Name,Globally Threatened Status,Nationally Threatened Status,Convention on International Trade in Endangered Species of Wild Fauna and Flora,Migration status,Occurrence status
139,"Yellow-legged
Buttonquail",Turnix tanki ,NT ,,,r,3
140,Barred Buttonquail ,Turnix suscitator ,,,,r,3
141,Indian Courser ,"Cursorius
coromandelicus",EN ,,,v,
142,Oriental Pratincole ,Glareola maldivarum ,NT ,,,r,5
143,Little Pratincole ,Glareola lactea ,NT ,,,r,1
Laridae,,,,,,,
144,Indian Skimmer ,Rynchops albicollis ,VU ,CR ,,s,5
145,Brown-headed Gull ,Larus brunnicephalus ,VU ,,,w,3
146,Black-headed Gull ,Larus ridibundus ,VU ,,,w,3
147,Pallas's Gull ,Larus ichthyaetus ,,,,w,3
148,Lesser Black-backed Gull ,Larus fuscus ,,,,w,4
149,Little Tern ,Sternula albifrons ,VU ,,,s,1
150,Caspian Tern ,Hydroprogne caspia ,CR ,,,w,4
151,River Tern ,Sterna aurantia ,CR ,,,r,4
152,Black-bellied Tern ,Sterna acuticauda ,EN ,CR ,,r,4
Tytonidae,,,,,,,
153,Eastern Grass-owl ,Tyto longimembris ,CR ,,II ,r,4
Strigidae,,,,,,,
154,Brown Boobook ,Ninox scutulata ,,,II ,r,2
155,Collared Owlet ,Glaucidium brodiei ,,,II ,r,3
156,Asian Barred Owlet ,"Glaucidium
cuculoides",,,II ,r,3
157,Jungle Owlet ,Glaucidium radiatum ,,,II ,r,1
158,Spotted Owlet ,Athene brama ,,,II ,r,1
159,Collared Scops-owl ,Otus lettia ,,,II ,r,3
160,Oriental Scops-owl ,Otus sunia ,,,II ,r,2
161,Short-eared Owl ,Asio flammeus ,VU ,,II ,w,4
162,Brown Wood-owl ,Strix leptogrammica ,VU ,,II ,r,4
163,Mottled Wood Owl ,Strix ocellata ,,,II ,r,4
164,Rock Eagle-owl ,Bubo bengalensis ,VU ,,,r,4
165,Spot-bellied Eagle-owl ,Bubo nipalensis ,EN ,,II ,r,4
166,Dusky Eagle-owl ,Bubo coromandus ,CR ,,II ,r,4
167,Brown Fish-owl ,Ketupa zeylonensis ,VU ,,II ,r,3
Pandionidae,,,,,,,
168,Osprey ,Pandion haliaetus ,,,II ,w,2
Accipitridae,,,,,,,
169,Black-winged Kite ,Elanus caeruleus ,,,II ,r,2
170,Oriental Honey-buzzard ,Pernis ptilorhynchus ,,,II ,r,2
171,Black Baza ,Aviceda leuphotes ,NT ,,II ,r,3
172,Crested Serpent-eagle ,Spilornis cheela ,,,II ,r,1
173,Short-toed Snake-eagle ,Circaetus gallicus ,,,II ,w,3
174,Bearded Vulture ,Gypaetus barbatus ,VU ,,II ,v,
175,Egyptian Vulture ,"Neophron
percnopterus",EN ,VU ,II ,r,3
176,Red-headed Vulture ,Sarcogyps calvus ,CR ,EN ,II ,r,3
177,Himalayan Griffon ,Gyps himalayensis ,VU ,,II ,w,2
178,White-rumped Vulture ,Gyps bengalensis ,CR ,CR ,II ,r,2
179,Slender-billed Vulture ,Gyps tenuirostris ,CR ,CR ,II ,r,3
180,Cinereous Vulture ,Aegypius monachus ,EN ,,II ,w,3
181,Mountain Hawk Eagle ,Nisaetus nipalensis ,,,II ,r,3
182,Changeable Hawk Eagle ,Nisaetus cirrhatus ,,,II ,r,2
183,Rufous-bellied Eagle ,"Lophotriorchis
kienerii",CR ,,II ,r,4
184,Black Eagle ,Ictinaetus malaiensis ,,,II ,w,4
185,Indian Spotted Eagle ,Clanga hastata ,VU ,VU ,II ,r,3
186,Greater Spotted Eagle ,Clanga clanga ,VU ,VU ,II ,w,4
187,Tawny Eagle ,Aquila rapax ,VU ,,II ,w,5
188,Steppe Eagle ,Aquila nipalensis ,EN ,VU ,II ,w,3
189,Eastern Imperial Eagle ,Aquila heliaca ,VU ,CR ,I ,w,5
190,Golden Eagle ,Aquila chrysaetos ,VU ,,II ,w,5
191,Bonelli's Eagle ,Aquila fasciata ,,,II ,r,4
192,Bootted Eagle ,Hieraaetus pennatus ,,,II ,w,3
193,Besra ,Accipiter virgatus ,,,II ,r,3
194,Eastern Marsh-harrier ,Circus spilonotus ,VU ,,II ,W,3
195,Hen Harrier ,Circus cyaneus ,VU ,,II ,w,2
196,Pallid Harrier ,Circus macrourus ,VU ,,II ,w,4
197,Pied Harrier ,Circus melanoleucos ,VU ,,II ,w,4
198,Eurasian Sparrowhawk ,Accipiter nisus ,,,II ,r,3
199,Northern Goshawk ,Accipiter gentilis ,,,II ,r,4
200,Pallas's Fish-eagle ,"Haliaeetus
leucoryphus",EN ,CR ,,w,4
201,White-tailed Sea-eagle ,Haliaeetus albicilla ,CR ,,I ,w,4
202,Lesser Fish-eagle ,Icthyophaga humilis ,CR ,,II ,r,5
203,Grey-headed Fish-eagle ,"Icthyophaga
ichthyaetus",CR ,,II ,r,3
204,Brahminy Kite ,Haliastur indus ,CR ,,II ,r,4
205,Black Kite ,Milvus migrans ,,,II ,r,1
206,White-eyed Buzzard ,Butastur teesa ,,,II ,r,2
207,Himalayan Buzzard ,Buteo refectus ,,,II ,w,2
208,Long-legged Buzzard ,Buteo rufinus ,,,II ,w,4
Bucerotidae,,,,,,,
209,Great Hornbill ,Buceros bicornis ,VU ,EN ,I ,r,3
210,Indian Grey Hornbill ,Ocyceros birostris ,,,,r,1
211,Oriental Pied Hornbill ,"Anthracoceros
albirostris",NT ,,II ,r,1
Upupidae,,,,,,,
212,Common Hoopoe ,Upupa epops ,,,,w,2
Meropidae,,,,,,,
213,Blue-bearded Bee-eater ,Nyctyornis athertoni ,,,,r,3
214,Asian Green Bee-eater ,Merops orientalis ,,,,r,1
215,"Chestnut-headed Bee
eater",Merops leschenaulti ,,,,s,1
216,Blue-tailed Bee-eater ,Merops philippinus ,,,,s,1
217,Indian Roller ,"Coracias
benghalensis",,,,r,1
218,Oriental Dollarbird ,Eurystomus orientalis ,,,,s,1
219,Blue-eared Kingfisher ,Alcedo meninting ,EN ,,,r,3
220,Common Kingfisher ,Alcedo atthis ,,,,r,1
221,Crested Kingfisher ,Megaceryle lugubris ,,,,r,3
222,Pied Kingfisher ,Ceryle rudis ,,,,r,1
223,Stork-billed Kingfisher ,Pelargopsis capensis ,,,,r,2
224,"White-breasted
Kingfisher",Halcyon smyrnensis ,,,,r,1
225,Black-capped Kingfisher ,Halcyon pileata ,,,,w,4
Megalaimidae,,,,,,,
226,Coppersmith Barbet ,"Psilopogon
haemacephalus",,,,r,2
227,Great Barbet ,Psilopogon virens ,,,,r,3
228,Lineated Barbet ,Psilopogon lineatus ,,,,r,3
229,Brown-headed Barbet ,"Psilopogon
zeylanicus",,,,r,1
230,Blue-throated Barbet ,Psilopogon asiaticus ,,,,r,2
Picidae,,,,,,,
231,Eurasian Wryneck ,Jynx torquilla ,,,,w,3
232,Speckled Piculet ,"Picumnus
innominatus",,,,r,3
233,Greater Flameback ,"Chrysocolaptes
guttacristatus",,,,r,2
234,"White-naped
Woodpecker","Chrysocolaptes
festivus",,,,r,4
235,Himalayan Flameback ,Dinopium shorii ,,,,r,1
236,Black-rumped Flameback ,"Dinopium
benghalense",,,,r,1
237,Greater Yellownape ,"Chrysophlegma
flavinucha",,,,r,3
238,Lesser Yellownape ,Picus chlorolophus ,,,,r,3
239,"Streak-throated
Woodpecker",Picus xanthopygaeus ,,,,r,2
240,"Black-naped
Woodpecker",Picus guerini ,,,,r,2
241,"Scaly-bellied
Woodpecker",Picus squamatus ,,,,r,4
242,Great Slaty Woodpecker ,"Mulleripicus
pulverulentus",VU ,EN ,,r,3
243,"Grey-capped
Woodpecker",Picoides canicapillus ,,,,r,3
244,"Indian Pygmy
Woodpecker",Picoides nanus ,,,,r,2
245,"Yellow-crowned
Woodpecker","Leiopicus
mahrattensis",,,,r,2
246,"Fulvous-breasted
Woodpecker",Dendrocopos macei ,,,,r,2
Falconidae,,,,,,,
247,Collared Falconet ,"Microhierax
caerulescens",NT ,,II ,r,2
248,Common Kestrel ,Falco tinnunculus ,,,II ,r,2
249,Eurasian Hobby ,Falco subbuteo ,,,II ,s,4
250,Oriental Hobby ,Falco severus ,CR ,,II ,s,5
251,Laggar Falcon ,Falco jugger ,CR ,,I ,w,5
252,Peregrine Falcon ,Falco peregrinus ,I ,,,r,2
Psittacidae,,,,,,,
253,Slaty-headed Parakeet ,Psittacula himalayana ,,,II ,r,3
254,Plum-headed Parakeet ,"Psittacula
cyanocephala",,,II ,r,1
255,Red-breasted Parakeet ,Psittacula alexandri ,VU ,,II ,r,2
256,Alexandrine Parakeet ,Psittacula eupatria ,NT ,,II ,r,1
257,Rose-ringed Parakeet ,Psittacula krameri ,,,,r,1
Pittidae,,,,,,,
258,Indian Pitta ,Pitta brachyura ,,,,s,2
259,Western Hooded Pitta ,Pitta sordida ,VU ,,,s,2
Eurylaimidae,,,,,,,
260,Long-tailed Broadbill ,"Psarisomus
dalhousiae",,,,r,3
Oriolidae,,,,,,,
261,Maroon Oriole ,Oriolus traillii ,,,,r,4
262,Black-hooded Oriole ,Oriolus xanthornus ,,,,r,1
263,Indian Golden Oriole ,Oriolus kundoo ,,,,s,2
264,Slender-billed Oriole ,Oriolus tenuirostris ,,,,w,5
Vireonidae,,,,,,,
265,"White-browed Shrike
babbler",Pteruthius aeralatus ,,,,r,4
266,White-bellied Erpornis ,Erpornis zantholeuca ,,,,r,2
Campephagidae,,,,,,,
267,Small Minivet ,"Pericrocotus
cinnamomeus",,,,r,1
268,Grey-chinned Minivet ,Pericrocotus solaris ,,,,v,
269,Short-billed Minivet ,"Pericrocotus
brevirostris",,,,w,4
270,Long-tailed Minivet ,"Pericrocotus
ethologus",,,,r,3
271,Scarlet Minivet ,"Pericrocotus
flammeus",,,,w,1
272,Rosy Minivet ,Pericrocotus roseus ,,,,r,4
273,Indian Cuckooshrike ,Coracina macei ,,,,r,1
274,"Black-winged
Cuckooshrike",Lalage melaschistos ,,,,r,2
275,"Black-headed
Cuckooshrike",Lalage melanoptera ,,,,r,3
Artamidae,,,,,,,
276,Ashy Woodswallow ,Artamus fuscus ,,,,r,1
Vangidae,,,,,,,
277,"Bar-winged Flycatcher
shrike",Hemipus picatus ,,,,r,1
Aegithinidae,,,,,,,
278,Common Iora ,Aegithina tiphia ,,,,r,1
Rhipiduridae,,,,,,,
279,White-browed Fantail ,Rhipidura aureola ,,,,r,2
280,White-throated Fantail ,Rhipidura albicollis ,,,,r,1
281,Yellow-bellied Fantail ,Rhipidura hypoxantha ,,,,w,3
Dicruridae,,,,,,,
282,Black Drongo ,Dicrurus macrocercus ,,,,r,1
283,Ashy Drongo ,Dicrurus leucophaeus ,,,,r,2
284,White-bellied Drongo ,Dicrurus caerulescens ,,,,r,1
285,Crow-billed Drongo ,Dicrurus annectens ,,,,s,3
286,Bronzed Drongo ,Dicrurus aeneus ,,,,r,1
287,"Lesser Racquet-tailed
Drongo",Dicrurus remifer ,,,,r,4
288,Hair-crested Drongo ,Dicrurus hottentottus ,,,,r,1
289,"Greater Racquet-tailed
Drongo",Dicrurus paradiseus ,,,,r,2
Monarchidae,,,,,,,
290,Black-naped Monarch ,Hypothymis azurea ,,,,r,3
291,"Indian Paradise
flycatcher",Terpsiphone paradisi ,,,,s,2
Laniidae,,,,,,,
292,Brown Shrike ,Lanius cristatus ,,,,w,2
293,Bay-backed Shrike ,Lanius vittatus ,,,,r,3
294,Long-tailed Shrike ,Lanius schach ,,,,r,1
295,Grey-backed Shrike ,Lanius tephronotus ,,,,w,2
296,Great Grey Shrike ,Lanius excubitor ,CR ,,,r,5
Corvidae,,,,,,,
297,Rufous Treepie ,"Dendrocitta
vagabunda",,,,r,1
298,Grey Treepie ,Dendrocitta formosae ,,,,r,4
299,Red-billed Blue Magpie ,"Urocissa
erythroryncha",,,,r,2
300,Common Green Magpie ,Cissa chinensis ,,,,r,3
301,Black-headed Jay ,Garrulus lanceolatus ,,,,w,5
302,House Crow ,Corvus splendens ,,,,r,1
303,Large-billed Crow ,"Corvus
macrorhynchos",,,,r,1
Stenostiridae,,,,,,,
304,"Grey-headed Canary
flycatcher","Culicicapa
ceylonensis",,,,w,1
Paridae,,,,,,,
305,Sultan Tit ,"Melanochlora
sultanea",EN ,,,r,5
306,Green-backed Tit ,Parus monticolus ,,,,r,3
307,Great Tit ,Parus major ,,,,r,1
308,Black-lored Tit ,"Machlolophus
xanthogenys",,,,r,3
Alaudidae,,,,,,,
309,"Ashy-crowned Sparrow
lark",Eremopterix griseus ,,,,r,2
310,Bengal Bushlark ,Mirafra assamica ,,,,r,2
311,Sand Lark ,Alaudala raytal ,,,,r,1
312,Eastern short-toed Lark ,"Calandrella
dukhunensis",,,,w,3
313,Oriental Skylark ,Alauda gulgula ,,,,r,1
314,Crested Lark ,Galerida cristata ,NT ,,,r,3
Cisticolidae,,,,,,,
315,Zitting Cisticola ,Cisticola juncidis ,,,,r,1
316,Golden-headed Cisticola ,Cisticola exilis ,NT ,,,r,2
317,Striated Prinia ,Prinia crinigera ,,,,r,3
318,Grey-crowned Prinia ,Prinia cinereocapilla ,VU ,CR ,,r,5
319,Grey-breasted Prinia ,Prinia hodgsonii ,,,,r,1
320,Graceful Prinia ,Prinia gracilis ,,,,r,3
321,Jungle Prinia ,Prinia sylvatica ,,,,r,3
322,Yellow-bellied Prinia ,Prinia flaviventris ,NT ,,,r,2
323,Ashy Prinia ,Prinia socialis ,,,,r,2
324,Plain Prinia ,Prinia inornata ,,,,r,1
325,Common Tailorbird ,Orthotomus sutorius ,,,,r,1
Acrocephalidae,,,,,,,
326,Thick-billed Warbler ,Arundinax aedon ,,,,w,2
